  x  y  f
      530.982      1705.17      31269.7
      2378.37      1989.43      31207.5
      1031.83      2286.20      31156.4
      378.175      1353.00      31123.2
      741.547      1405.84      31038.6
      902.741      1055.44      30974.0
      1642.37      1671.38      30863.2
      1424.47      358.020      30858.1
      2394.48      428.482      30855.5
      1744.10      1700.37      30789.6
      1607.43      1988.37      30743.8
      551.127      1056.28      30714.9
      1586.44      1827.63      30678.3
      1078.21      1176.25      30637.7
      1932.73      2384.14      30626.5
      1061.76      802.043      30555.3
      1168.90      197.933      30549.9
      486.376      2200.26      30542.6
      1572.50      835.922      30514.5
      2370.39      1015.37      30491.2
      1951.73      1099.95      30421.5
      2430.80      1379.86      30359.7
      472.100      1927.20      30346.7
      1335.34      825.117      30338.2
      1210.76      1095.48      30295.8
      2273.25      1730.64      30281.4
      2133.82      686.407      30275.7
      1330.11      780.309      30244.1
      2312.95      1337.23      30192.4
      560.110      940.930      30167.8
      1806.32      1804.32      30158.7
      1737.58      952.450      30140.0
      1322.21      888.287      30006.2
      1517.36      1610.95      29917.1
