            x            y            a            d            m            sx            sy             sm            c
   827.434814   449.472015   266.524848   -28.783500    13.551384     0.003473     0.003221     0.002107     0.987300
   429.753510    24.325199   266.586421   -28.772138    13.553278     0.003429     0.003189     0.002093     0.987048
   738.179749   471.614258   266.527795   -28.775177    13.555315     0.003419     0.003208     0.002096     0.978755
   988.298035    38.563583   266.553863   -28.816721    13.557144     0.003461     0.003229     0.002109     0.987006
   989.920898   372.295959   266.522893   -28.800461    13.561162     0.003409     0.003194     0.002099     0.986527
   745.010925   352.340881   266.538445   -28.781590    13.562367     0.003409     0.003211     0.002104     0.979337
   738.663696  1379.136841   266.443866   -28.730610    13.565728     0.003478     0.003166     0.002109     0.981263
  1403.063721   585.594788   266.480025   -28.823462    13.565929     0.003427     0.003237     0.002113     0.985111
   543.567444   500.796936   266.535984   -28.757970    13.568038     0.003510     0.003200     0.002121     0.984775
   841.421631   632.229370   266.507162   -28.775654    13.570909     0.003519     0.003216     0.002131     0.992577
  1084.614380   587.213440   266.497711   -28.797576    13.582866     0.003551     0.003245     0.002150     0.982288
   621.645081  1285.661987   266.459056   -28.725725    13.584763     0.003560     0.003293     0.002159     0.983474
  1418.710693   153.241196   266.519155   -28.845978    13.584803     0.003536     0.003256     0.002151     0.988633
   374.354828  1082.335571   266.491688   -28.715683    13.593799     0.003590     0.003319     0.002180     0.986543
   725.875305  1196.048096   266.461503   -28.738577    13.613802     0.003569     0.003277     0.002190     0.984458
   596.468567  1269.748657   266.461937   -28.724468    13.620252     0.003690     0.003376     0.002232     0.990628
  1005.970276  1293.626953   266.436797   -28.756472    13.633285     0.003641     0.003436     0.002246     0.980393
   601.800049  1201.021118   266.467990   -28.728279    13.635834     0.003662     0.003345     0.002238     0.993669
  1352.959106   347.011810   266.504906   -28.831128    13.636579     0.003628     0.003339     0.002234     0.990850
   484.615021  1505.299194   266.446433   -28.703822    13.637883     0.003742     0.003445     0.002268     0.984266
  1482.108276  1235.578369   266.415481   -28.797901    13.644886     0.003695     0.003487     0.002275     0.983957
   985.823975   999.597473   266.465107   -28.769299    13.646078     0.003717     0.003490     0.002279     0.983192
   379.472595  1393.277710   266.462668   -28.700812    13.662183     0.003838     0.003519     0.002323     0.990113
   467.170166   774.351562   266.514964   -28.738339    13.674984     0.003813     0.003571     0.002340     0.980940
   939.738403   974.254761   266.470031   -28.766811    13.680245     0.003853     0.003559     0.002348     0.991267
   900.605347   620.041992   266.504977   -28.781050    13.688157     0.003901     0.003523     0.002360     0.988868
